Subsystem,Emissions
ASU,20631.45
HydrogenProduction,102.8
SyngasCompression,51818.55
HaberBoschUnit,318347.6
CoolingSubsystem,28.35
ASU,20631.45
HydrogenProduction,102.8
SyngasCompression,51818.55
HaberBoschUnit,318347.6
CoolingSubsystem,28.35
ASU,14633.05
HydrogenProduction,90.8
SyngasCompression,29733.05
HaberBoschUnit,309096.82
CoolingSubsystem,25.05
ASU,14633.05
HydrogenProduction,90.8
SyngasCompression,29733.05
HaberBoschUnit,309096.82
CoolingSubsystem,25.05
ASU,8533.0
HydrogenProduction,91.05
SyngasCompression,75539.7
HaberBoschUnit,338260.97
CoolingSubsystem,23.55
ASU,8533.0
HydrogenProduction,91.05
SyngasCompression,75539.7
HaberBoschUnit,338260.97
CoolingSubsystem,23.55
ASU,20076.8
HydrogenProduction,117.7
SyngasCompression,59857.4
HaberBoschUnit,418932.04
CoolingSubsystem,30.8
ASU,20076.8
HydrogenProduction,117.7
SyngasCompression,59857.4
HaberBoschUnit,418932.04
CoolingSubsystem,30.8
ASU,10094.65
HydrogenProduction,140.5
SyngasCompression,46648.75
HaberBoschUnit,380849.01
CoolingSubsystem,25.55
ASU,10094.65
HydrogenProduction,140.5
SyngasCompression,46648.75
HaberBoschUnit,380849.01
CoolingSubsystem,25.55
ASU,8023.85
HydrogenProduction,147.7
SyngasCompression,99815.25
HaberBoschUnit,457849.55
CoolingSubsystem,50.75
ASU,8023.85
HydrogenProduction,147.7
SyngasCompression,99815.25
HaberBoschUnit,457849.55
CoolingSubsystem,50.75
ASU,22474.65
HydrogenProduction,90.9
SyngasCompression,40871.5
HaberBoschUnit,524817.99
CoolingSubsystem,42.15
ASU,22474.65
HydrogenProduction,90.9
SyngasCompression,40871.5
HaberBoschUnit,524817.99
CoolingSubsystem,42.15
ASU,14805.5
HydrogenProduction,154.8
SyngasCompression,50683.05
HaberBoschUnit,284958.51
CoolingSubsystem,26.05
ASU,14805.5
HydrogenProduction,154.8
SyngasCompression,50683.05
HaberBoschUnit,284958.51
CoolingSubsystem,26.05
ASU,12850.45
HydrogenProduction,78.35
SyngasCompression,48548.95
HaberBoschUnit,279184.55
CoolingSubsystem,27.6
ASU,12850.45
HydrogenProduction,78.35
SyngasCompression,48548.95
HaberBoschUnit,279184.55
CoolingSubsystem,27.6
ASU,10620.95
HydrogenProduction,99.2
SyngasCompression,46207.5
HaberBoschUnit,798925.01
CoolingSubsystem,31.0
ASU,10620.95
HydrogenProduction,99.2
SyngasCompression,46207.5
HaberBoschUnit,798925.01
CoolingSubsystem,31.0
ASU,9052.05
HydrogenProduction,83.6
SyngasCompression,83804.55
HaberBoschUnit,319776.16
CoolingSubsystem,45.1
ASU,9052.05
HydrogenProduction,83.6
SyngasCompression,83804.55
HaberBoschUnit,319776.16
CoolingSubsystem,45.1
ASU,8781.2
HydrogenProduction,183.6
SyngasCompression,29048.85
HaberBoschUnit,259054.85
CoolingSubsystem,35.95
ASU,8781.2
HydrogenProduction,183.6
SyngasCompression,29048.85
HaberBoschUnit,259054.85
CoolingSubsystem,35.95
ASU,9323.6
HydrogenProduction,113.65
SyngasCompression,54232.8
HaberBoschUnit,330375.42
CoolingSubsystem,31.2
ASU,9323.6
HydrogenProduction,113.65
SyngasCompression,54232.8
HaberBoschUnit,330375.42
CoolingSubsystem,31.2
ASU,11134.9
HydrogenProduction,89.2
SyngasCompression,44687.15
HaberBoschUnit,317217.25
CoolingSubsystem,37.75
ASU,11134.9
HydrogenProduction,89.2
SyngasCompression,44687.15
HaberBoschUnit,317217.25
CoolingSubsystem,37.75
ASU,17548.9
HydrogenProduction,82.5
SyngasCompression,45911.05
