Subsystem,Emissions
ASU,381736.5
HydrogenProduction,1729.8
SyngasCompression,1286641.55
HaberBoschUnit,12244336.17
CoolingSubsystem,966.0
ASU,381736.5
HydrogenProduction,1729.8
SyngasCompression,1286641.55
HaberBoschUnit,12244336.17
CoolingSubsystem,966.0
ASU,337886.9
HydrogenProduction,1678.9
SyngasCompression,779397.5
HaberBoschUnit,5499879.03
CoolingSubsystem,523.5
ASU,337886.9
HydrogenProduction,1678.9
SyngasCompression,779397.5
HaberBoschUnit,5499879.03
CoolingSubsystem,523.5
ASU,288174.95
HydrogenProduction,4157.2
SyngasCompression,1318438.95
HaberBoschUnit,6089102.49
CoolingSubsystem,413.8
ASU,288174.95
HydrogenProduction,4157.2
SyngasCompression,1318438.95
HaberBoschUnit,6089102.49
CoolingSubsystem,413.8
ASU,265294.5
HydrogenProduction,3516.95
SyngasCompression,1944874.5
HaberBoschUnit,7409735.6
CoolingSubsystem,690.1
ASU,265294.5
HydrogenProduction,3516.95
SyngasCompression,1944874.5
HaberBoschUnit,7409735.6
CoolingSubsystem,690.1
ASU,340610.05
HydrogenProduction,1582.5
SyngasCompression,706096.85
HaberBoschUnit,12239654.37
CoolingSubsystem,1123.0
ASU,340610.05
HydrogenProduction,1582.5
SyngasCompression,706096.85
HaberBoschUnit,12239654.37
CoolingSubsystem,1123.0
ASU,388035.9
HydrogenProduction,3593.05
SyngasCompression,1177510.65
HaberBoschUnit,6493724.52
CoolingSubsystem,612.1
ASU,388035.9
HydrogenProduction,3593.05
SyngasCompression,1177510.65
HaberBoschUnit,6493724.52
CoolingSubsystem,612.1
ASU,537311.9
HydrogenProduction,1504.85
SyngasCompression,1192864.2
HaberBoschUnit,13543740.78
CoolingSubsystem,1036.25
ASU,537311.9
HydrogenProduction,1504.85
SyngasCompression,1192864.2
HaberBoschUnit,13543740.78
CoolingSubsystem,1036.25
ASU,434104.95
HydrogenProduction,3007.5
SyngasCompression,1747303.25
HaberBoschUnit,5934772.75
CoolingSubsystem,455.75
ASU,434104.95
HydrogenProduction,3007.5
SyngasCompression,1747303.25
HaberBoschUnit,5934772.75
CoolingSubsystem,455.75
ASU,419977.75
HydrogenProduction,1488.5
SyngasCompression,1728832.0
HaberBoschUnit,14342948.08
CoolingSubsystem,541.8
ASU,419977.75
HydrogenProduction,1488.5
SyngasCompression,1728832.0
HaberBoschUnit,14342948.08
CoolingSubsystem,541.8
ASU,336241.55
HydrogenProduction,2762.1
SyngasCompression,1110163.9
HaberBoschUnit,11237155.75
CoolingSubsystem,929.15
ASU,336241.55
HydrogenProduction,2762.1
SyngasCompression,1110163.9
HaberBoschUnit,11237155.75
CoolingSubsystem,929.15
ASU,352061.15
HydrogenProduction,2124.8
SyngasCompression,1166866.0
HaberBoschUnit,4706085.3
CoolingSubsystem,532.25
ASU,352061.15
HydrogenProduction,2124.8
SyngasCompression,1166866.0
HaberBoschUnit,4706085.3
CoolingSubsystem,532.25
ASU,339295.05
HydrogenProduction,1816.85
SyngasCompression,1379781.65
HaberBoschUnit,8577052.58
CoolingSubsystem,399.7
ASU,339295.05
HydrogenProduction,1816.85
SyngasCompression,1379781.65
HaberBoschUnit,8577052.58
CoolingSubsystem,399.7
ASU,278121.0
HydrogenProduction,2917.55
SyngasCompression,1522842.15
HaberBoschUnit,6439289.32
CoolingSubsystem,375.3
ASU,278121.0
HydrogenProduction,2917.55
SyngasCompression,1522842.15
HaberBoschUnit,6439289.32
CoolingSubsystem,375.3
ASU,345767.15
HydrogenProduction,3185.9
SyngasCompression,778844.1
HaberBoschUnit,11930588.29
CoolingSubsystem,953.2
ASU,345767.15
HydrogenProduction,3185.9
SyngasCompression,778844.1
HaberBoschUnit,11930588.29
CoolingSubsystem,953.2
ASU,433709.15
HydrogenProduction,2378.4
SyngasCompression,677534.6
HaberBoschUnit,8554233.35
CoolingSubsystem,795.75
ASU,433709.15
HydrogenProduction,2378.4
SyngasCompression,677534.6
HaberBoschUnit,8554233.35
CoolingSubsystem,795.75
ASU,303363.85
HydrogenProduction,3345.0
SyngasCompression,1285668.15
HaberBoschUnit,6698803.29
CoolingSubsystem,563.8
ASU,303363.85
HydrogenProduction,3345.0
SyngasCompression,1285668.15
HaberBoschUnit,6698803.29
CoolingSubsystem,563.8
ASU,234243.9
HydrogenProduction,3139.9
SyngasCompression,965975.9
HaberBoschUnit,10753913.2
CoolingSubsystem,672.2
ASU,234243.9
HydrogenProduction,3139.9
SyngasCompression,965975.9
HaberBoschUnit,10753913.2
CoolingSubsystem,672.2
ASU,593355.35
HydrogenProduction,2461.55
SyngasCompression,1901355.45
HaberBoschUnit,7199437.48
CoolingSubsystem,378.95
ASU,593355.35
HydrogenProduction,2461.55
SyngasCompression,1901355.45
HaberBoschUnit,7199437.48
CoolingSubsystem,378.95
ASU,159770.15
HydrogenProduction,1885.25
SyngasCompression,1662414.55
HaberBoschUnit,9823628.14
CoolingSubsystem,492.75
ASU,159770.15
HydrogenProduction,1885.25
SyngasCompression,1662414.55
HaberBoschUnit,9823628.14
CoolingSubsystem,492.75
ASU,279170.5
HydrogenProduction,2394.7
SyngasCompression,1058663.45
HaberBoschUnit,13245824.41
CoolingSubsystem,361.8
ASU,279170.5
HydrogenProduction,2394.7
SyngasCompression,1058663.45
HaberBoschUnit,13245824.41
CoolingSubsystem,361.8
ASU,239084.5
HydrogenProduction,1580.65
SyngasCompression,989606.0
HaberBoschUnit,12193913.48
CoolingSubsystem,840.95
ASU,239084.5
HydrogenProduction,1580.65
SyngasCompression,989606.0
HaberBoschUnit,12193913.48
CoolingSubsystem,840.95
ASU,246256.4
HydrogenProduction,2183.85
SyngasCompression,1273255.1
HaberBoschUnit,7757640.99
CoolingSubsystem,644.8
ASU,246256.4
HydrogenProduction,2183.85
SyngasCompression,1273255.1
HaberBoschUnit,7757640.99
CoolingSubsystem,644.8
ASU,225013.15
HydrogenProduction,2922.4
SyngasCompression,1156054.8
HaberBoschUnit,9862205.24
CoolingSubsystem,718.15
ASU,225013.15
HydrogenProduction,2922.4
SyngasCompression,1156054.8
HaberBoschUnit,9862205.24
CoolingSubsystem,718.15
ASU,271945.2
HydrogenProduction,3684.35
SyngasCompression,1713873.6
HaberBoschUnit,15448395.02
CoolingSubsystem,829.35
ASU,271945.2
HydrogenProduction,3684.35
SyngasCompression,1713873.6
HaberBoschUnit,15448395.02
CoolingSubsystem,829.35
ASU,353462.1
HydrogenProduction,2280.7
SyngasCompression,858722.8
HaberBoschUnit,7601058.21
CoolingSubsystem,548.75
ASU,353462.1
HydrogenProduction,2280.7
SyngasCompression,858722.8
HaberBoschUnit,7601058.21
CoolingSubsystem,548.75
ASU,464099.75
HydrogenProduction,2418.1
SyngasCompression,2071627.7
HaberBoschUnit,5079455.16
CoolingSubsystem,717.85
ASU,464099.75
HydrogenProduction,2418.1
SyngasCompression,2071627.7
HaberBoschUnit,5079455.16
CoolingSubsystem,717.85
ASU,404173.9
HydrogenProduction,2543.25
SyngasCompression,702658.9
HaberBoschUnit,6611188.71
CoolingSubsystem,542.15
ASU,404173.9
HydrogenProduction,2543.25
SyngasCompression,702658.9
HaberBoschUnit,6611188.71
CoolingSubsystem,542.15
ASU,382027.25
HydrogenProduction,2987.35
SyngasCompression,641886.35
HaberBoschUnit,5579049.62
CoolingSubsystem,1005.15
ASU,382027.25
HydrogenProduction,2987.35
SyngasCompression,641886.35
HaberBoschUnit,5579049.62
CoolingSubsystem,1005.15
ASU,185990.75
HydrogenProduction,2276.95
SyngasCompression,1364312.3
HaberBoschUnit,8793023.46
CoolingSubsystem,749.35
ASU,185990.75
HydrogenProduction,2276.95
SyngasCompression,1364312.3
HaberBoschUnit,8793023.46
CoolingSubsystem,749.35
ASU,201054.2
HydrogenProduction,2973.0
SyngasCompression,1082022.55
HaberBoschUnit,11646625.18
CoolingSubsystem,827.1
ASU,201054.2
HydrogenProduction,2973.0
SyngasCompression,1082022.55
HaberBoschUnit,11646625.18
CoolingSubsystem,827.1
ASU,205439.8
HydrogenProduction,2150.95
SyngasCompression,1733549.9
HaberBoschUnit,9742985.9
CoolingSubsystem,689.05
ASU,205439.8
HydrogenProduction,2150.95
SyngasCompression,1733549.9
HaberBoschUnit,9742985.9
CoolingSubsystem,689.05
ASU,259628.45
HydrogenProduction,3845.8
SyngasCompression,1286798.2
HaberBoschUnit,11888815.15
CoolingSubsystem,345.0
ASU,259628.45
HydrogenProduction,3845.8
SyngasCompression,1286798.2
HaberBoschUnit,11888815.15
CoolingSubsystem,345.0
ASU,276138.85
HydrogenProduction,3927.25
SyngasCompression,940740.8
HaberBoschUnit,6421090.03
CoolingSubsystem,344.55
ASU,276138.85
HydrogenProduction,3927.25
SyngasCompression,940740.8
HaberBoschUnit,6421090.03
CoolingSubsystem,344.55
ASU,240399.5
HydrogenProduction,1453.9
SyngasCompression,1011461.4
HaberBoschUnit,8281160.02
CoolingSubsystem,464.7
ASU,240399.5
HydrogenProduction,1453.9
SyngasCompression,1011461.4
HaberBoschUnit,8281160.02
CoolingSubsystem,464.7
ASU,312826.4
HydrogenProduction,4009.25
SyngasCompression,1464047.25
HaberBoschUnit,10389053.08
CoolingSubsystem,458.85
ASU,312826.4
HydrogenProduction,4009.25
SyngasCompression,1464047.25
HaberBoschUnit,10389053.08
CoolingSubsystem,458.85
ASU,448096.15
HydrogenProduction,2296.35
SyngasCompression,1121106.5
HaberBoschUnit,8316470.42
CoolingSubsystem,744.4
ASU,448096.15
HydrogenProduction,2296.35
SyngasCompression,1121106.5
HaberBoschUnit,8316470.42
CoolingSubsystem,744.4
ASU,193015.6
HydrogenProduction,2785.9
SyngasCompression,834920.45
HaberBoschUnit,9034890.29
CoolingSubsystem,569.7
ASU,193015.6
HydrogenProduction,2785.9
SyngasCompression,834920.45
HaberBoschUnit,9034890.29
CoolingSubsystem,569.7
ASU,240875.55
HydrogenProduction,3914.5
SyngasCompression,689414.7
HaberBoschUnit,8111449.56
CoolingSubsystem,737.3
ASU,240875.55
HydrogenProduction,3914.5
SyngasCompression,689414.7
HaberBoschUnit,8111449.56
CoolingSubsystem,737.3
ASU,208782.55
HydrogenProduction,3800.85
SyngasCompression,1228548.6
HaberBoschUnit,12611953.76
CoolingSubsystem,657.0
ASU,208782.55
HydrogenProduction,3800.85
SyngasCompression,1228548.6
HaberBoschUnit,12611953.76
CoolingSubsystem,657.0
ASU,455480.9
HydrogenProduction,3139.65
SyngasCompression,1228882.05
HaberBoschUnit,5613658.51
CoolingSubsystem,564.05
ASU,455480.9
HydrogenProduction,3139.65
SyngasCompression,1228882.05
HaberBoschUnit,5613658.51
CoolingSubsystem,564.05
ASU,584355.65
HydrogenProduction,2923.95
SyngasCompression,1801359.9
HaberBoschUnit,10662511.75
CoolingSubsystem,556.45
ASU,584355.65
HydrogenProduction,2923.95
SyngasCompression,1801359.9
HaberBoschUnit,10662511.75
CoolingSubsystem,556.45
ASU,402311.45
HydrogenProduction,2181.95
SyngasCompression,1607837.35
HaberBoschUnit,11137023.58
CoolingSubsystem,448.6
ASU,402311.45
HydrogenProduction,2181.95
SyngasCompression,1607837.35
HaberBoschUnit,11137023.58
CoolingSubsystem,448.6
ASU,592932.25
HydrogenProduction,2946.85
SyngasCompression,1161181.2
HaberBoschUnit,13886701.53
CoolingSubsystem,537.95
ASU,592932.25
HydrogenProduction,2946.85
SyngasCompression,1161181.2
HaberBoschUnit,13886701.53
CoolingSubsystem,537.95
ASU,254188.75
HydrogenProduction,2158.7
SyngasCompression,716153.55
HaberBoschUnit,11494206.52
CoolingSubsystem,717.25
ASU,254188.75
HydrogenProduction,2158.7
SyngasCompression,716153.55
HaberBoschUnit,11494206.52
CoolingSubsystem,717.25
ASU,345375.45
HydrogenProduction,2144.7
SyngasCompression,1250759.15
HaberBoschUnit,15783218.29
CoolingSubsystem,891.95
ASU,345375.45
HydrogenProduction,2144.7
SyngasCompression,1250759.15
HaberBoschUnit,15783218.29
CoolingSubsystem,891.95
ASU,352035.2
HydrogenProduction,4210.85
SyngasCompression,877628.05
HaberBoschUnit,7231889.96
CoolingSubsystem,465.35
ASU,352035.2
HydrogenProduction,4210.85
SyngasCompression,877628.05
HaberBoschUnit,7231889.96
CoolingSubsystem,465.35
ASU,313878.95
HydrogenProduction,2247.05
SyngasCompression,1061658.9
HaberBoschUnit,8765718.82
CoolingSubsystem,692.3
ASU,313878.95
HydrogenProduction,2247.05
SyngasCompression,1061658.9
HaberBoschUnit,8765718.82
CoolingSubsystem,692.3
ASU,391441.25
HydrogenProduction,1623.15
SyngasCompression,2017718.55
HaberBoschUnit,10723217.45
CoolingSubsystem,1005.5
ASU,391441.25
HydrogenProduction,1623.15
SyngasCompression,2017718.55
HaberBoschUnit,10723217.45
CoolingSubsystem,1005.5
ASU,291366.9
HydrogenProduction,3795.35
SyngasCompression,980087.8
HaberBoschUnit,16114235.84
CoolingSubsystem,557.15
ASU,291366.9
HydrogenProduction,3795.35
SyngasCompression,980087.8
HaberBoschUnit,16114235.84
CoolingSubsystem,557.15
ASU,285602.05
HydrogenProduction,2962.6
SyngasCompression,1145506.4
HaberBoschUnit,10453729.47
CoolingSubsystem,848.0
ASU,285602.05
HydrogenProduction,2962.6
SyngasCompression,1145506.4
HaberBoschUnit,10453729.47
CoolingSubsystem,848.0
ASU,386105.55
HydrogenProduction,1614.9
SyngasCompression,907383.7
HaberBoschUnit,9339600.53
CoolingSubsystem,460.65
ASU,386105.55
HydrogenProduction,1614.9
SyngasCompression,907383.7
HaberBoschUnit,9339600.53
CoolingSubsystem,460.65
ASU,350592.3
HydrogenProduction,2385.4
SyngasCompression,1035104.3
HaberBoschUnit,9827449.61
CoolingSubsystem,717.15
ASU,350592.3
HydrogenProduction,2385.4
SyngasCompression,1035104.3
HaberBoschUnit,9827449.61
CoolingSubsystem,717.15
ASU,358078.3
HydrogenProduction,2072.95
SyngasCompression,982373.15
HaberBoschUnit,9467410.71
CoolingSubsystem,474.0
ASU,358078.3
HydrogenProduction,2072.95
SyngasCompression,982373.15
HaberBoschUnit,9467410.71
CoolingSubsystem,474.0
ASU,401928.2
HydrogenProduction,3836.15
SyngasCompression,725075.05
HaberBoschUnit,13291438.24
CoolingSubsystem,596.0
ASU,401928.2
HydrogenProduction,3836.15
SyngasCompression,725075.05
HaberBoschUnit,13291438.24
CoolingSubsystem,596.0
ASU,386775.4
HydrogenProduction,1683.55
SyngasCompression,1772507.3
HaberBoschUnit,7751734.81
CoolingSubsystem,568.2
ASU,386775.4
HydrogenProduction,1683.55
SyngasCompression,1772507.3
HaberBoschUnit,7751734.81
CoolingSubsystem,568.2
ASU,257110.4
HydrogenProduction,2908.95
SyngasCompression,1448203.5
HaberBoschUnit,9654822.42
CoolingSubsystem,852.0
ASU,257110.4
HydrogenProduction,2908.95
SyngasCompression,1448203.5
HaberBoschUnit,9654822.42
CoolingSubsystem,852.0
