Subsystem,Emissions
ASU,333273.5
HydrogenProduction,2560.25
SyngasCompression,1273198.5
HaberBoschUnit,9366298.81
CoolingSubsystem,672.85
ASU,333273.5
HydrogenProduction,2560.25
SyngasCompression,1273198.5
HaberBoschUnit,9366298.81
CoolingSubsystem,672.85
ASU,299266.0
HydrogenProduction,1724.25
SyngasCompression,1325165.8
HaberBoschUnit,9748596.7
CoolingSubsystem,453.15
ASU,299266.0
HydrogenProduction,1724.25
SyngasCompression,1325165.8
HaberBoschUnit,9748596.7
CoolingSubsystem,453.15
ASU,346876.5
HydrogenProduction,3553.0
SyngasCompression,1143280.3
HaberBoschUnit,8410554.04
CoolingSubsystem,933.75
ASU,346876.5
HydrogenProduction,3553.0
SyngasCompression,1143280.3
HaberBoschUnit,8410554.04
CoolingSubsystem,933.75
ASU,242303.45
HydrogenProduction,1861.4
SyngasCompression,893187.75
HaberBoschUnit,7765426.31
CoolingSubsystem,554.4
ASU,242303.45
HydrogenProduction,1861.4
SyngasCompression,893187.75
HaberBoschUnit,7765426.31
CoolingSubsystem,554.4
ASU,289913.95
HydrogenProduction,2227.15
SyngasCompression,1802615.25
HaberBoschUnit,15029086.62
CoolingSubsystem,691.75
ASU,289913.95
HydrogenProduction,2227.15
SyngasCompression,1802615.25
HaberBoschUnit,15029086.62
CoolingSubsystem,691.75
ASU,276310.95
HydrogenProduction,2775.8
SyngasCompression,1308926.0
HaberBoschUnit,8147724.23
CoolingSubsystem,643.65
ASU,276310.95
HydrogenProduction,2775.8
SyngasCompression,1308926.0
HaberBoschUnit,8147724.23
CoolingSubsystem,643.65
ASU,534767.95
HydrogenProduction,3141.55
SyngasCompression,1049089.6
HaberBoschUnit,6809681.54
CoolingSubsystem,698.6
ASU,534767.95
HydrogenProduction,3141.55
SyngasCompression,1049089.6
HaberBoschUnit,6809681.54
CoolingSubsystem,698.6
ASU,345388.65
HydrogenProduction,2343.1
SyngasCompression,1530599.0
HaberBoschUnit,4390452.57
CoolingSubsystem,568.55
ASU,345388.65
HydrogenProduction,2343.1
SyngasCompression,1530599.0
HaberBoschUnit,4390452.57
CoolingSubsystem,568.55
ASU,287575.9
HydrogenProduction,2865.6
